timestamp,pose_position_x,pose_position_y,pose_position_z,pose_orientation_x,pose_orientation_y,pose_orientation_z,pose_orientation_w,velocity_linear_x,velocity_linear_y,velocity_linear_z,velocity_angular_x,velocity_angular_y,velocity_angular_z
1691759714271028,0.00396913,-1.47517753,0.09495772,0.00485467,0.00152933,0.00151141,0.99998587,0.01778640,-0.00242200,0.27118766,0.01662304,-0.06535237,0.01411146
1691759714274665,0.00391020,-1.47513235,0.09595288,0.00492704,0.00143013,0.00152293,0.99998569,-0.01274433,0.01091193,0.27337146,0.03988720,-0.05451580,0.00601179
1691759714278301,0.00382955,-1.47509646,0.09688118,0.00498479,0.00135401,0.00153664,0.99998546,-0.02122123,0.00997477,0.25714847,0.03184312,-0.04185846,0.00729288
1691759714281938,0.00371504,-1.47504771,0.09785608,0.00505780,0.00127479,0.00157127,0.99998516,-0.03043937,0.01305661,0.26694152,0.04024268,-0.04360016,0.01877615
1691759714285574,0.00382566,-1.47504902,0.09856295,0.00508910,0.00119853,0.00154714,0.99998510,0.02422634,0.00100548,0.20179297,0.01726354,-0.04185067,-0.01350602
1691759714289210,0.00385917,-1.47502947,0.09940085,0.00512835,0.00111800,0.00152033,0.99998504,0.01074320,0.00493179,0.22752814,0.02163945,-0.04418722,-0.01499746
1691759714292847,0.00386439,-1.47502077,0.10025503,0.00515808,0.00105572,0.00150789,0.99998498,0.00238239,0.00265107,0.23411234,0.01639429,-0.03418932,-0.00703662
1691759714296483,0.00386154,-1.47499990,0.10114682,0.00518946,0.00098636,0.00149536,0.99998492,-0.00046032,0.00542326,0.24413101,0.01731116,-0.03808946,-0.00710284
1691759714300119,0.00385596,-1.47498715,0.10205312,0.00521620,0.00092347,0.00147134,0.99998486,-0.00142613,0.00370308,0.24873634,0.01474614,-0.03449842,-0.01340461
1691759714303756,0.00386509,-1.47496629,0.10298462,0.00523985,0.00085771,0.00143594,0.99998486,0.00211114,0.00552909,0.25536695,0.01304047,-0.03604326,-0.01966544
1691759714307392,0.00389226,-1.47495294,0.10381356,0.00524647,0.00079937,0.00140802,0.99998492,0.00692510,0.00386110,0.23076884,0.00366983,-0.03199952,-0.01553247
1691759714311028,0.00390046,-1.47492743,0.10475047,0.00525698,0.00074783,0.00137120,0.99998498,0.00273124,0.00669493,0.25493652,0.00580199,-0.02823704,-0.02040463
1691759714314665,0.00387209,-1.47491133,0.10568381,0.00526772,0.00070031,0.00134217,0.99998498,-0.00672730,0.00465586,0.25645235,0.00592925,-0.02604087,-0.01610187
1691759714318301,0.00383206,-1.47486842,0.10664692,0.00528617,0.00064568,0.00131143,0.99998492,-0.01057459,0.01107520,0.26402268,0.01017566,-0.02994168,-0.01707417
1691759714321938,0.00395593,-1.47486687,0.10733011,0.00518411,0.00043161,0.00107416,0.99998587,0.02951770,0.00150969,0.19559546,-0.05607794,-0.11711843,-0.13107443
1691759714325574,0.00406920,-1.47485995,0.10816053,0.00510524,0.00024789,0.00087918,0.99998653,0.03098530,0.00186168,0.22504927,-0.04334660,-0.10054994,-0.10775924
1691759714329210,0.00393979,-1.47481585,0.10922723,0.00510905,0.00020511,0.00084727,0.99998659,-0.02881365,0.01108518,0.28641528,0.00211414,-0.02344060,-0.01767291
1691759714332847,0.00403362,-1.47479117,0.11000455,0.00505514,0.00002234,0.00065149,0.99998701,0.02024188,0.00722238,0.22112370,-0.02960087,-0.09998790,-0.10817248
1691759714336483,0.00394562,-1.47478461,0.11093747,0.00505134,-0.00001800,0.00060888,0.99998707,-0.01967723,0.00235499,0.25296795,-0.00208199,-0.02206713,-0.02355202
1691759714340119,0.00379377,-1.47473836,0.11202885,0.00507391,-0.00006020,0.00058020,0.99998695,-0.03951214,0.01166546,0.29535541,0.01242876,-0.02312570,-0.01588806
1691759714343756,0.00361748,-1.47465158,0.11308943,0.00512736,-0.00010861,0.00054874,0.99998671,-0.04756195,0.02262052,0.29199040,0.02941029,-0.02651869,-0.01743383
1691759714347392,0.00345356,-1.47457290,0.11410818,0.00520801,-0.00015056,0.00053214,0.99998629,-0.04533415,0.02173862,0.28138393,0.04437865,-0.02300043,-0.00924454
1691759714351028,0.00347447,-1.47458029,0.11478730,0.00522111,-0.00017234,0.00050722,0.99998623,0.00054974,0.00038763,0.19641137,0.00721362,-0.01190345,-0.01376594
1691759714354665,0.00358110,-1.47457337,0.11550624,0.00523806,-0.00020109,0.00046405,0.99998611,0.02638970,0.00174706,0.19754453,0.00932776,-0.01568137,-0.02381985
1691759714358301,0.00367901,-1.47455692,0.11636376,0.00526590,-0.00024459,0.00039612,0.99998599,0.02687543,0.00424166,0.23194338,0.01533367,-0.02372318,-0.03748797
1691759714361938,0.00362744,-1.47458494,0.11735868,0.00527317,-0.00025451,0.00037511,0.99998599,-0.01000365,-0.00648718,0.26931930,0.00400464,-0.00539449,-0.01157804
1691759714365574,0.00343870,-1.47450483,0.11847845,0.00530476,-0.00025014,0.00036384,0.99998581,-0.04764245,0.01912830,0.30403247,0.01737361,0.00244471,-0.00618466
1691759714369210,0.00334482,-1.47445273,0.11940372,0.00533811,-0.00023291,0.00034265,0.99998564,-0.02803979,0.01481623,0.25952125,0.01834436,0.00954536,-0.01160013
1691759714372847,0.00323188,-1.47440577,0.12033913,0.00537825,-0.00020614,0.00032466,0.99998546,-0.03074613,0.01310762,0.25742856,0.02207092,0.01478031,-0.00981049
1691759714376483,0.00334340,-1.47440982,0.12096938,0.00539128,-0.00016926,0.00027345,0.99998540,0.02441706,0.00033337,0.18190059,0.00716540,0.02044431,-0.02805634
1691759714380119,0.00332759,-1.47435999,0.12180748,0.00543129,-0.00011186,0.00023518,0.99998522,-0.00141847,0.01234306,0.22555058,0.02200893,0.03169300,-0.02087577
1691759714383756,0.00327250,-1.47431338,0.12269124,0.00547458,-0.00004877,0.00021362,0.99998498,-0.01375218,0.01276764,0.24121632,0.02379795,0.03475915,-0.01166573
1691759714387392,0.00324321,-1.47425878,0.12353253,0.00551398,0.00001509,0.00018608,0.99998480,-0.00863387,0.01478700,0.23237957,0.02166697,0.03521852,-0.01495984
1691759714391028,0.00321026,-1.47420847,0.12435777,0.00555031,0.00007787,0.00015366,0.99998456,-0.00901975,0.01393249,0.22751543,0.01997515,0.03463478,-0.01764068
1691759714394665,0.00318096,-1.47418189,0.12518966,0.00558025,0.00015256,0.00013586,0.99998438,-0.00815291,0.00798318,0.22860730,0.01646232,0.04112792,-0.00956495
1691759714398301,0.00316318,-1.47413433,0.12606482,0.00560389,0.00021405,0.00011756,0.99998426,-0.00522270,0.01256244,0.23946255,0.01299365,0.03387797,-0.00987932
1691759714401938,0.00314611,-1.47408259,0.12691797,0.00562899,0.00028652,0.00008934,0.99998409,-0.00474722,0.01405595,0.23507278,0.01379780,0.03994176,-0.01529846
1691759714405574,0.00314661,-1.47408104,0.12769035,0.00562525,0.00037079,0.00005923,0.99998409,-0.00036067,0.00181397,0.21472962,-0.00206544,0.04644519,-0.01629772
1691759714409210,0.00319795,-1.47404921,0.12868996,0.00563909,0.00039453,0.00005406,0.99998403,0.01264526,0.00804721,0.26879290,0.00761289,0.01307377,-0.00277306
1691759714412847,0.00315021,-1.47396374,0.12964502,0.00569160,0.00043944,0.00004376,0.99998367,-0.01050300,0.02192849,0.26322618,0.02887383,0.02472935,-0.00554012
1691759714416483,0.00303603,-1.47389817,0.13056840,0.00577639,0.00049716,0.00004628,0.99998319,-0.02927385,0.01842892,0.25489897,0.04663798,0.03174472,0.00154433
1691759714420119,0.00288870,-1.47378635,0.13146320,0.00589408,0.00059144,0.00008693,0.99998242,-0.03937462,0.02949828,0.24699102,0.06474406,0.05173012,0.02262309
1691759714423756,0.00297702,-1.47376180,0.13214125,0.00593968,0.00063960,0.00006996,0.99998212,0.01780604,0.00906655,0.19259275,0.02506780,0.02654047,-0.00919226
1691759714427392,0.00298098,-1.47372591,0.13296258,0.00598267,0.00068384,0.00005564,0.99998188,0.00279022,0.00978688,0.22250000,0.02364411,0.02438253,-0.00774957
1691759714431028,0.00297120,-1.47369027,0.13376762,0.00602235,0.00072622,0.00004453,0.99998158,-0.00213124,0.00980133,0.22151814,0.02181815,0.02335059,-0.00598927
1691759714434665,0.00297024,-1.47364450,0.13458909,0.00605636,0.00079260,0.00003103,0.99998134,-0.00045544,0.01230292,0.22542274,0.01869805,0.03654261,-0.00721847
1691759714438301,0.00294551,-1.47359872,0.13542219,0.00609182,0.00086405,0.00001406,0.99998105,-0.00615434,0.01256055,0.22874697,0.01949693,0.03935964,-0.00911343
1691759714441938,0.00292016,-1.47355425,0.13627882,0.00611933,0.00092745,-0.00000526,0.99998087,-0.00688586,0.01225982,0.23484360,0.01511862,0.03493001,-0.01042488
1691759714445574,0.00290898,-1.47349405,0.13713647,0.00614479,0.00097231,-0.00002798,0.99998063,-0.00346320,0.01611933,0.23577240,0.01399600,0.02475265,-0.01235743
1691759714449210,0.00288748,-1.47343779,0.13798244,0.00617327,0.00103059,-0.00005399,0.99998039,-0.00566493,0.01554053,0.23298110,0.01565399,0.03214452,-0.01412554
1691759714452847,0.00286544,-1.47338128,0.13882852,0.00619599,0.00107983,-0.00007439,0.99998021,-0.00602020,0.01553665,0.23266517,0.01248027,0.02714239,-0.01106434
1691759714456483,0.00284938,-1.47332287,0.13968876,0.00622948,0.00113738,-0.00009640,0.99997991,-0.00458035,0.01601126,0.23619108,0.01841532,0.03173304,-0.01193125
1691759714460119,0.00285755,-1.47329700,0.14049810,0.00625551,0.00119303,-0.00012387,0.99997967,0.00155333,0.00802038,0.22397594,0.01430629,0.03070292,-0.01493500
1691759714463756,0.00283162,-1.47326851,0.14139235,0.00629856,0.00125683,-0.00013910,0.99997938,-0.00624671,0.00785266,0.24364696,0.02366620,0.03513392,-0.00818642
1691759714467392,0.00276965,-1.47318077,0.14234458,0.00639665,0.00131982,-0.00012770,0.99997866,-0.01594305,0.02247301,0.26003176,0.05397149,0.03459576,0.00641488
1691759714471028,0.00268040,-1.47307694,0.14329402,0.00652035,0.00137570,-0.00009166,0.99997777,-0.02367129,0.02793705,0.26101169,0.06806734,0.03060101,0.01992744
1691759714474665,0.00279969,-1.47306240,0.14391437,0.00657607,0.00140660,-0.00011188,0.99997735,0.02705363,0.00643459,0.17976967,0.03063277,0.01706249,-0.01104904
1691759714478301,0.00285241,-1.47303069,0.14465556,0.00661409,0.00144784,-0.00012163,0.99997705,0.01577685,0.00848823,0.20139453,0.02090494,0.02271535,-0.00524777
