timestamp,gate1_marker1_x,gate1_marker1_y,gate1_marker1_z,gate1_marker2_x,gate1_marker2_y,gate1_marker2_z,gate1_marker3_x,gate1_marker3_y,gate1_marker3_z,gate1_marker4_x,gate1_marker4_y,gate1_marker4_z,gate2_marker1_x,gate2_marker1_y,gate2_marker1_z,gate2_marker2_x,gate2_marker2_y,gate2_marker2_z,gate2_marker3_x,gate2_marker3_y,gate2_marker3_z,gate2_marker4_x,gate2_marker4_y,gate2_marker4_z,gate3_marker1_x,gate3_marker1_y,gate3_marker1_z,gate3_marker2_x,gate3_marker2_y,gate3_marker2_z,gate3_marker3_x,gate3_marker3_y,gate3_marker3_z,gate3_marker4_x,gate3_marker4_y,gate3_marker4_z,gate4_marker1_x,gate4_marker1_y,gate4_marker1_z,gate4_marker2_x,gate4_marker2_y,gate4_marker2_z,gate4_marker3_x,gate4_marker3_y,gate4_marker3_z,gate4_marker4_x,gate4_marker4_y,gate4_marker4_z
1691761070804947.0,3.978583,2.038095,0.371207,4.016703,0.531578,0.374386,3.9794,0.540852,1.902593,3.939873,2.086401,1.896974,4.016389,-0.565055,1.923056,4.017139,-0.596381,0.396679,4.002854,-2.104761,1.931071,3.987741,-2.097789,0.406983,-4.054553,-2.04871,1.93329,-4.008833,-2.045748,0.398333,-3.992462,-0.53605,0.396356,-3.966445,-0.513685,1.927414,-3.965078,0.532389,0.406275,-3.921348,0.520398,1.933078,-3.99738,2.033317,0.413152,-4.021482,2.034205,1.945538
1691761070808577.0,3.97858,2.038088,0.371181,4.016703,0.531562,0.374419,3.979356,0.540763,1.902602,3.93983,2.086364,1.896962,4.016375,-0.565033,1.923047,4.017182,-0.596378,0.396704,4.002843,-2.104796,1.931056,3.98779,-2.097794,0.407008,-4.054531,-2.048775,1.933289,-4.008373,-2.045985,0.398178,-3.992318,-0.53614,0.396311,-3.966511,-0.513699,1.927413,-3.965012,0.532357,0.406263,-3.921358,0.520417,1.933045,-3.997648,2.033421,0.413116,-4.021484,2.034205,1.945593
1691761070812217.0,3.978565,2.038106,0.371225,4.0167,0.531562,0.374428,3.979363,0.540769,1.902584,3.939867,2.086697,1.896629,4.016391,-0.565039,1.923074,4.017158,-0.59637,0.396717,4.002852,-2.104793,1.931074,3.987742,-2.097778,0.406992,-4.054492,-2.04874,1.933354,-4.008472,-2.046027,0.398166,-3.992343,-0.536039,0.396376,-3.966391,-0.513706,1.927406,-3.965075,0.532354,0.406276,-3.921321,0.520374,1.933105,-3.997645,2.033483,0.413154,-4.021458,2.034179,1.945596
1691761070815847.0,3.97854,2.03809,0.371187,4.016675,0.531545,0.37442,3.979311,0.5408,1.90258,3.93983,2.086363,1.896962,4.016385,-0.565044,1.923065,4.017129,-0.596401,0.396715,4.002917,-2.104757,1.931108,3.987707,-2.097793,0.406961,-4.054558,-2.048725,1.933372,-4.009149,-2.04571,0.398488,-3.992329,-0.536019,0.396418,-3.966337,-0.513711,1.927362,-3.965111,0.532331,0.406237,-3.921336,0.520362,1.933068,-3.997683,2.033422,0.41311,-4.021508,2.034246,1.94555
1691761070819487.0,3.978495,2.038026,0.37123,4.016604,0.531549,0.374427,3.979351,0.540828,1.90254,3.939796,2.086358,1.896981,4.0164,-0.565029,1.923077,4.017106,-0.596387,0.396695,4.002877,-2.104798,1.931126,3.987707,-2.097797,0.406968,-4.054549,-2.048784,1.933358,-4.008842,-2.045799,0.398396,-3.992271,-0.536191,0.396313,-3.966542,-0.513686,1.927385,-3.965077,0.532306,0.406212,-3.921341,0.520356,1.933087,-3.997716,2.033445,0.413071,-4.021502,2.034191,1.945527
1691761070823127.0,3.978541,2.038021,0.37124,4.016613,0.531528,0.374447,3.979309,0.540818,1.902584,3.939813,2.086357,1.896978,4.01638,-0.565032,1.923063,4.017137,-0.596365,0.396714,4.002845,-2.104769,1.931093,3.98771,-2.097796,0.406963,-4.054549,-2.048758,1.933362,-4.008985,-2.045824,0.398355,-3.992313,-0.536136,0.396348,-3.966445,-0.513703,1.927388,-3.9651,0.532289,0.406243,-3.92136,0.520305,1.9331,-3.99765,2.033472,0.413007,-4.021487,2.034201,1.945539
1691761070826757.0,3.978508,2.037987,0.371199,4.016619,0.531522,0.374421,3.97925,0.540752,1.902612,3.939775,2.08634,1.896996,4.016372,-0.565009,1.923073,4.017118,-0.596374,0.396707,4.002755,-2.104786,1.93108,3.987703,-2.097766,0.406967,-4.054506,-2.048757,1.93331,-4.009029,-2.045776,0.39847,-3.99231,-0.536047,0.396383,-3.966472,-0.513714,1.927391,-3.965111,0.532289,0.406256,-3.921331,0.520291,1.933139,-3.997662,2.033464,0.41304,-4.021537,2.034214,1.945495
1691761070830397.0,3.978505,2.038018,0.37121,4.016638,0.531503,0.37444,3.979275,0.540743,1.902608,3.939792,2.086341,1.896981,4.016365,-0.565046,1.923056,4.017099,-0.596392,0.396691,4.002822,-2.104784,1.931089,3.987712,-2.09779,0.407004,-4.054427,-2.048757,1.933274,-4.008701,-2.045903,0.398318,-3.992291,-0.536095,0.396364,-3.966496,-0.513686,1.927391,-3.965064,0.532275,0.406247,-3.921317,0.520305,1.933131,-3.99776,2.03343,0.413069,-4.021527,2.034223,1.945546
1691761070834037.0,3.978519,2.037996,0.371247,4.016645,0.531514,0.374412,3.979274,0.540751,1.902608,3.939792,2.086316,1.896999,4.016362,-0.565033,1.923046,4.017095,-0.596383,0.396675,4.002849,-2.10477,1.931082,3.987672,-2.09779,0.406972,-4.054572,-2.048731,1.933302,-4.008563,-2.045953,0.398199,-3.992432,-0.53614,0.39631,-3.966523,-0.51369,1.927386,-3.965001,0.532276,0.406281,-3.921305,0.520307,1.933134,-3.997317,2.033307,0.413119,-4.021444,2.034206,1.945597
1691761070837667.0,3.978553,2.038,0.371225,4.016604,0.531506,0.374372,3.979323,0.540767,1.902586,3.939826,2.086329,1.89698,4.016396,-0.565059,1.923061,4.017113,-0.596398,0.396696,4.002828,-2.1048,1.9311,3.987716,-2.097805,0.406951,-4.054484,-2.048755,1.93329,-4.009044,-2.045809,0.398292,-3.992353,-0.536048,0.396365,-3.966551,-0.513691,1.927359,-3.965023,0.532317,0.406295,-3.921269,0.520322,1.93316,-3.997642,2.033439,0.413046,-4.021385,2.034178,1.945488
