timestamp,gate1_marker1_x,gate1_marker1_y,gate1_marker1_z,gate1_marker2_x,gate1_marker2_y,gate1_marker2_z,gate1_marker3_x,gate1_marker3_y,gate1_marker3_z,gate1_marker4_x,gate1_marker4_y,gate1_marker4_z,gate2_marker1_x,gate2_marker1_y,gate2_marker1_z,gate2_marker2_x,gate2_marker2_y,gate2_marker2_z,gate2_marker3_x,gate2_marker3_y,gate2_marker3_z,gate2_marker4_x,gate2_marker4_y,gate2_marker4_z,gate3_marker1_x,gate3_marker1_y,gate3_marker1_z,gate3_marker2_x,gate3_marker2_y,gate3_marker2_z,gate3_marker3_x,gate3_marker3_y,gate3_marker3_z,gate3_marker4_x,gate3_marker4_y,gate3_marker4_z,gate4_marker1_x,gate4_marker1_y,gate4_marker1_z,gate4_marker2_x,gate4_marker2_y,gate4_marker2_z,gate4_marker3_x,gate4_marker3_y,gate4_marker3_z,gate4_marker4_x,gate4_marker4_y,gate4_marker4_z
1691752810266901.0,3.977693,2.038192,0.369929,4.01666,0.531359,0.373483,3.9791,0.540404,1.902191,3.939092,2.085895,1.89591,4.016356,-0.563806,1.922558,4.018417,-0.596714,0.395921,4.00269,-2.103906,1.930926,3.994447,-2.098317,0.406702,-4.053464,-2.048922,1.93359,-4.012555,-2.046333,0.39958,-3.992735,-0.535854,0.396933,-3.965899,-0.513826,1.927245,-3.964482,0.531491,0.405949,-3.920344,0.519971,1.932841,-3.993815,2.03448,0.412211,-4.021061,2.033987,1.945443
1691752810270541.0,3.977626,2.038171,0.369915,4.016663,0.531378,0.373449,3.979124,0.540407,1.902163,3.939143,2.085901,1.895934,4.01638,-0.563818,1.922559,4.018447,-0.596709,0.395918,4.002719,-2.103915,1.930925,3.994414,-2.098292,0.406676,-4.053233,-2.049035,1.933517,-4.012727,-2.046204,0.39977,-3.992577,-0.535886,0.39697,-3.965879,-0.513892,1.927228,-3.964471,0.531491,0.40594,-3.920364,0.519986,1.932842,-3.993791,2.0345,0.412174,-4.021056,2.033993,1.945427
1691752810274171.0,3.977653,2.038178,0.369893,4.016658,0.531401,0.373452,3.97914,0.540429,1.902164,3.93913,2.08591,1.895954,4.016381,-0.563833,1.922552,4.017715,-0.596573,0.396309,4.0028,-2.103883,1.93094,3.994381,-2.098308,0.406663,-4.053459,-2.048883,1.93355,-4.012968,-2.04606,0.39987,-3.99242,-0.535914,0.397013,-3.965983,-0.51382,1.927299,-3.964458,0.531455,0.405919,-3.920354,0.519975,1.932832,-3.993803,2.034478,0.412238,-4.021066,2.033965,1.945485
1691752810277811.0,3.97769,2.038189,0.369913,4.016694,0.531388,0.373449,3.979116,0.540426,1.902175,3.939113,2.085904,1.895938,4.016345,-0.563831,1.92255,4.018429,-0.596689,0.395915,4.002676,-2.103938,1.930906,3.99441,-2.098294,0.406677,-4.053432,-2.048862,1.933508,-4.0133,-2.045829,0.399985,-3.992361,-0.535938,0.397094,-3.965902,-0.513833,1.927314,-3.964472,0.531447,0.405885,-3.920301,0.519952,1.932834,-3.991054,2.033377,0.413726,-4.021122,2.033999,1.945422
1691752810281441.0,3.977696,2.038249,0.369931,4.016693,0.531419,0.373457,3.979062,0.540438,1.902175,3.939165,2.085878,1.895957,4.01632,-0.563827,1.922557,4.018429,-0.596719,0.395927,4.002699,-2.103932,1.93093,3.994406,-2.098315,0.40669,-4.053434,-2.048944,1.933612,-4.013267,-2.04604,0.400009,-3.992276,-0.536118,0.396978,-3.965984,-0.513867,1.927227,-3.964515,0.531507,0.40593,-3.920345,0.519992,1.932795,-3.993844,2.034489,0.412226,-4.021079,2.033982,1.94542
1691752810285081.0,3.977698,2.038212,0.369944,4.016675,0.531407,0.37344,3.979156,0.540468,1.902123,3.939127,2.085935,1.895959,4.016337,-0.563843,1.922554,4.018451,-0.59673,0.395934,4.002763,-2.103927,1.930968,3.994329,-2.098326,0.40664,-4.05352,-2.048935,1.933617,-4.013253,-2.046064,0.399864,-3.992456,-0.535903,0.397018,-3.965919,-0.513831,1.927259,-3.964464,0.531524,0.405942,-3.920409,0.52,1.932738,-3.993889,2.034525,0.412167,-4.021198,2.034001,1.945314
1691752810288721.0,3.977662,2.038222,0.369939,4.016685,0.531422,0.373448,3.9791,0.540446,1.902131,3.939155,2.085928,1.895964,4.016407,-0.563859,1.922608,4.018466,-0.596714,0.395961,4.002734,-2.103937,1.930961,3.994389,-2.098328,0.406653,-4.053526,-2.048902,1.933647,-4.012657,-2.046224,0.399778,-3.992398,-0.536307,0.396757,-3.965797,-0.513876,1.927344,-3.964507,0.531504,0.405897,-3.920382,0.520018,1.932784,-3.993873,2.034476,0.412157,-4.021238,2.033917,1.945232
1691752810292351.0,3.97767,2.038305,0.369893,4.016651,0.531416,0.373458,3.979101,0.540442,1.902117,3.93913,2.085937,1.896003,4.016392,-0.56385,1.922602,4.018448,-0.596716,0.39594,4.002765,-2.103904,1.93096,3.994307,-2.098337,0.406629,-4.053464,-2.048847,1.93362,-4.013366,-2.046016,0.400068,-3.992296,-0.536034,0.39698,-3.965965,-0.513841,1.927362,-3.964459,0.531494,0.405917,-3.920407,0.519982,1.932744,-3.993935,2.034508,0.412172,-4.021271,2.033943,1.945213
1691752810295991.0,3.977682,2.038244,0.36994,4.016718,0.53143,0.373468,3.979061,0.540396,1.9022,3.939,2.085897,1.89606,4.01638,-0.56385,1.922599,4.017776,-0.596577,0.396331,4.002747,-2.103901,1.930966,3.99436,-2.098325,0.40667,-4.053557,-2.048887,1.933636,-4.013271,-2.046016,0.399831,-3.992141,-0.536136,0.396936,-3.965981,-0.513835,1.927368,-3.964506,0.53148,0.405901,-3.920394,0.520023,1.932765,-3.993931,2.034522,0.412217,-4.021202,2.033988,1.945291
1691752810299631.0,3.977688,2.038217,0.370001,4.016676,0.531414,0.373455,3.979061,0.540447,1.902169,3.93911,2.085908,1.896025,4.016405,-0.563836,1.922613,4.017769,-0.59657,0.396346,4.002755,-2.10392,1.930972,3.994411,-2.098289,0.406695,-4.053427,-2.048885,1.933724,-4.012939,-2.046361,0.399732,-3.992293,-0.536213,0.396837,-3.965979,-0.513862,1.927367,-3.96447,0.5315,0.405945,-3.920388,0.519969,1.932781,-3.99391,2.034505,0.412194,-4.02121,2.034001,1.945417
