timestamp,thrust[0],thrust[1],thrust[2],thrust[3]
1691753488119202,0.06900000,0.06900000,0.05600000,0.05900000
1691753488129220,0.06100000,0.06400000,0.06100000,0.05600000
1691753488139249,0.06900000,0.07400000,0.05600000,0.06200000
1691753488149298,0.07200000,0.07000000,0.05600000,0.05700000
1691753488159311,0.06800000,0.06700000,0.06300000,0.05600000
1691753488169342,0.06500000,0.06800000,0.05700000,0.05600000
1691753488179407,0.07100000,0.07000000,0.05600000,0.06200000
1691753488189431,0.07900000,0.07600000,0.07000000,0.05600000
1691753488198920,0.09900000,0.08300000,0.08000000,0.07100000
1691753488209078,0.41800001,0.19700000,0.33199999,0.25400001
1691753488218936,0.44800001,0.16400000,0.31500000,0.22800000
1691753488229459,0.38100001,0.22100000,0.27700001,0.22700000
1691753488238963,0.24100000,0.28299999,0.23000000,0.33899999
1691753488248967,0.25299999,0.29100001,0.22300000,0.31799999
1691753488259069,0.26899999,0.28299999,0.24300000,0.29200000
1691753488269091,0.26699999,0.28999999,0.23999999,0.27700001
1691753488279102,0.25000000,0.23199999,0.29300001,0.28000000
1691753488289103,0.20700000,0.26100001,0.24900000,0.29499999
1691753488299216,0.27800000,0.27800000,0.25000000,0.24200000
1691753488309214,0.23199999,0.28400001,0.24200000,0.26699999
1691753488319251,0.21900000,0.27200001,0.23899999,0.25999999
1691753488329332,0.18600000,0.22400001,0.26300001,0.27599999
1691753488339327,0.23500000,0.23999999,0.23700000,0.20700000
1691753488349302,0.19000000,0.23700000,0.22400001,0.23500000
1691753488359307,0.21500000,0.22300000,0.23800001,0.22499999
1691753488369338,0.21799999,0.26100001,0.20500000,0.22600000
1691753488379710,0.21200000,0.22600000,0.22800000,0.21699999
1691753488389472,0.22499999,0.24500000,0.22800000,0.21699999
1691753488399438,0.22800000,0.20000000,0.25600001,0.20900001
1691753488409429,0.20700000,0.23199999,0.22900000,0.22200000
1691753488418944,0.19300000,0.26699999,0.19100000,0.23800001
1691753488428965,0.20700000,0.26899999,0.17100000,0.20500000
1691753488439483,0.27599999,0.09700000,0.34999999,0.17700000
1691753488449031,0.21699999,0.20200001,0.25999999,0.21500000
1691753488459059,0.20400000,0.25600001,0.21200000,0.24699999
1691753488469076,0.17900001,0.05600000,0.37200001,0.25000000
1691753488479114,0.28400001,0.25400001,0.21900000,0.11500000
1691753488489074,0.24900000,0.43900001,0.05600000,0.23800001
1691753488499099,0.20500000,0.30700001,0.20200001,0.24100000
1691753488509184,0.25700000,0.16900000,0.30599999,0.20400000
1691753488519729,0.21200000,0.23999999,0.24400000,0.26300001
1691753488529728,0.25999999,0.25099999,0.23400000,0.20299999
1691753488539223,0.22100000,0.26899999,0.21900000,0.25200000
1691753488549281,0.22400001,0.23600000,0.24600001,0.25500000
1691753488559277,0.24699999,0.23400000,0.24900000,0.22900000
1691753488569316,0.23800001,0.24300000,0.23700000,0.23400000
1691753488579342,0.24100000,0.24900000,0.22300000,0.22800000
1691753488589330,0.24800000,0.25000000,0.23600000,0.23500000
1691753488599811,0.19599999,0.23999999,0.23199999,0.28600001
1691753488609322,0.24900000,0.22000000,0.24100000,0.22300000
1691753488619353,0.29100001,0.35600001,0.14500000,0.22100000
1691753488629437,0.14500000,0.06300000,0.34400001,0.28500000
1691753488639448,0.21900000,0.24200000,0.20400000,0.21400000
1691753488649433,0.26899999,0.32499999,0.13300000,0.20999999
1691753488659695,0.27300000,0.22300000,0.25600001,0.21500000
1691753488668961,0.22800000,0.29899999,0.19400001,0.27100000
1691753488679089,0.28700000,0.31799999,0.20700000,0.23500000
1691753488689113,0.20700000,0.14000000,0.33300000,0.27800000
1691753488699117,0.23300000,0.23000000,0.23400000,0.25000000
1691753488709079,0.18500000,0.05600000,0.55000001,0.44600001
1691753488719703,0.39100000,0.40599999,0.07400000,0.05700000
1691753488729514,0.29600000,0.37500000,0.09600000,0.18000001
1691753488739244,0.15700001,0.24699999,0.23600000,0.28900000
1691753488749268,0.23300000,0.18300000,0.28400001,0.22499999
1691753488759275,0.25400001,0.21900000,0.25299999,0.20299999
1691753488769287,0.25999999,0.25600001,0.21200000,0.20200001
1691753488779342,0.24200000,0.27100000,0.21500000,0.23199999
1691753488789336,0.27900001,0.30800000,0.22499999,0.23700000
1691753488799324,0.23300000,0.19400001,0.31400001,0.27500001
1691753488809333,0.20800000,0.21600001,0.26499999,0.27000001
1691753488819416,0.25200000,0.23899999,0.23600000,0.22200000
1691753488829437,0.22200000,0.23700000,0.23800001,0.24800000
1691753488839454,0.22200000,0.22499999,0.24600001,0.24100000
1691753488849435,0.24400000,0.23800001,0.23500000,0.22700000
1691753488858987,0.25700000,0.05600000,0.66900003,0.45699999
1691753488868973,0.40599999,0.56199998,0.05600000,0.20200001
1691753488879069,0.22200000,0.49399999,0.05600000,0.26100001
1691753488889103,0.22499999,0.19599999,0.29699999,0.20800000
1691753488899059,0.28500000,0.20700000,0.26499999,0.17100000
1691753488909064,0.23700000,0.27700001,0.20500000,0.23199999
1691753488919186,0.22000000,0.23800001,0.24300000,0.23899999
1691753488929193,0.22600000,0.21400000,0.25099999,0.22300000
1691753488939207,0.25600001,0.25400001,0.22800000,0.21400000
1691753488949194,0.24500000,0.30599999,0.19599999,0.24800000
1691753488959768,0.20000000,0.21400000,0.27500001,0.28000000
1691753488969279,0.23899999,0.20900001,0.26699999,0.22700000
1691753488979424,0.19700000,0.13300000,0.30100000,0.22800000
1691753488989359,0.27100000,0.34099999,0.16200000,0.22600000
1691753488999419,0.23700000,0.28099999,0.19800000,0.22499999
1691753489009429,0.22900000,0.21900000,0.27200001,0.24699999
1691753489018937,0.24200000,0.24100000,0.24600001,0.22300000
1691753489029548,0.22900000,0.23300000,0.25099999,0.24200000
1691753489039034,0.25900000,0.24200000,0.25900000,0.22400001
1691753489049062,0.25299999,0.30700001,0.19700000,0.23800001
1691753489059569,0.23100001,0.22900000,0.27399999,0.24900000
1691753489069097,0.23199999,0.24400000,0.25999999,0.25200000
1691753489079159,0.24699999,0.25000000,0.24300000,0.22200000
1691753489089270,0.20299999,0.26100001,0.23300000,0.27200001
1691753489099169,0.22800000,0.20299999,0.27399999,0.24900000
1691753489109153,0.28000000,0.27800000,0.22000000,0.20500000
1691753489119170,0.24600001,0.28200001,0.22300000,0.24100000
1691753489129755,0.23400000,0.21900000,0.27599999,0.24699999
1691753489139209,0.24600001,0.26199999,0.22100000,0.22800000
1691753489149280,0.23100001,0.19800000,0.27100000,0.22100000
1691753489159757,0.28900000,0.33899999,0.18900000,0.21600001
1691753489169308,0.23300000,0.29400000,0.21900000,0.25400001
1691753489179402,0.18200000,0.14500000,0.30899999,0.25799999
1691753489189800,0.24500000,0.22200000,0.24300000,0.19900000
1691753489199313,0.28900000,0.30899999,0.17900001,0.17900001
1691753489209393,0.19300000,0.25799999,0.22800000,0.28099999
1691753489219419,0.23800001,0.26199999,0.23600000,0.24800000
1691753489229474,0.27300000,0.24200000,0.24900000,0.20299999
1691753489240071,0.25400001,0.26800001,0.23800001,0.24200000
1691753489249126,0.23400000,0.28500000,0.22900000,0.25700000
1691753489259021,0.22900000,0.19100000,0.28200001,0.22400001
1691753489269045,0.23500000,0.24699999,0.24300000,0.22700000
1691753489279094,0.27200001,0.29699999,0.23400000,0.23700000
1691753489289133,0.21300000,0.23800001,0.24200000,0.24500000
1691753489299328,0.22700000,0.23000000,0.25700000,0.23500000
1691753489309155,0.29699999,0.29400000,0.22100000,0.20299999
1691753489319194,0.24600001,0.31400001,0.21500000,0.26100001
1691753489329217,0.17299999,0.16000000,0.29899999,0.27200001
1691753489339413,0.25099999,0.19400001,0.28999999,0.21400000
1691753489349236,0.29699999,0.34000000,0.16900000,0.20200001
1691753489359245,0.22100000,0.28999999,0.21900000,0.26699999
1691753489369263,0.22800000,0.16100000,0.32900000,0.25500000
1691753489379303,0.26600000,0.27000001,0.25000000,0.24200000
1691753489389283,0.24500000,0.32300001,0.18900000,0.24300000
1691753489399373,0.24600001,0.25200000,0.26100001,0.23600000
1691753489409379,0.28500000,0.20400000,0.31999999,0.21799999
1691753489419479,0.18900000,0.23400000,0.24100000,0.25799999
1691753489429447,0.24699999,0.30899999,0.19400001,0.23400000
1691753489439868,0.23800001,0.23400000,0.25999999,0.22700000
1691753489449008,0.23400000,0.18799999,0.29800001,0.22600000
1691753489459012,0.24100000,0.28099999,0.21500000,0.23199999
1691753489469025,0.23100001,0.30100000,0.19400001,0.23899999
1691753489479071,0.20700000,0.08600000,0.34999999,0.20900001
1691753489489046,0.30399999,0.36899999,0.15300000,0.19800000
1691753489499134,0.19300000,0.27200001,0.22300000,0.28099999
1691753489509140,0.25099999,0.21200000,0.28000000,0.23600000
1691753489519162,0.25200000,0.19300000,0.28200001,0.20299999
1691753489529193,0.23199999,0.32200000,0.19100000,0.26100001
1691753489539218,0.23899999,0.28600001,0.22200000,0.24300000
1691753489549234,0.25999999,0.21300000,0.31500000,0.24699999
1691753489559731,0.20900001,0.28600001,0.22400001,0.26600000
1691753489569817,0.25999999,0.27000001,0.24300000,0.22400001
1691753489579272,0.23600000,0.22200000,0.27300000,0.23899999
1691753489589335,0.24600001,0.27300000,0.23500000,0.22600000
1691753489599283,0.22900000,0.28999999,0.19499999,0.23199999
1691753489609365,0.24200000,0.24800000,0.26199999,0.24200000
1691753489619391,0.28299999,0.28299999,0.22800000,0.21200000
1691753489629420,0.23100001,0.27000001,0.23800001,0.26800001
1691753489639830,0.24600001,0.25200000,0.25999999,0.24800000
1691753489649475,0.28000000,0.23400000,0.28900000,0.22000000
1691753489659000,0.23600000,0.26800001,0.25500000,0.25999999
1691753489669030,0.22000000,0.28400001,0.22200000,0.26199999
1691753489679042,0.22900000,0.15800001,0.31099999,0.22200000
1691753489689029,0.24800000,0.30599999,0.20000000,0.23100001
1691753489699095,0.25600001,0.28900000,0.22300000,0.22400001
1691753489709143,0.22900000,0.23000000,0.27599999,0.25299999
1691753489719121,0.23999999,0.24400000,0.26499999,0.23899999
1691753489729193,0.24300000,0.26899999,0.23700000,0.24400000
1691753489739208,0.20100001,0.16800000,0.30100000,0.24400000
1691753489749179,0.27100000,0.29400000,0.22700000,0.22100000
1691753489759150,0.18000001,0.28000000,0.19499999,0.26600000
1691753489769175,0.27599999,0.21699999,0.29100001,0.21400000
1691753489779254,0.25000000,0.24500000,0.26699999,0.23300000
1691753489789241,0.18099999,0.25500000,0.21100000,0.26800001
1691753489799272,0.28000000,0.23700000,0.26400000,0.20900001
1691753489809250,0.23899999,0.26899999,0.21600001,0.23199999
1691753489819290,0.23000000,0.27700001,0.23000000,0.25200000
1691753489829299,0.19599999,0.28200001,0.18900000,0.25999999
1691753489839873,0.25700000,0.19300000,0.30100000,0.21799999
1691753489849375,0.23400000,0.26400000,0.22400001,0.22400001
1691753489859387,0.28600001,0.22499999,0.28500000,0.20400000
1691753489869388,0.23899999,0.28200001,0.23300000,0.24600001
1691753489879410,0.21900000,0.28999999,0.22200000,0.26199999
1691753489889551,0.24699999,0.23199999,0.27900001,0.24600001
1691753489899519,0.24300000,0.22200000,0.27300000,0.21699999
1691753489909010,0.22400001,0.25799999,0.22200000,0.23000000
1691753489919531,0.24800000,0.26699999,0.22300000,0.22700000
1691753489929130,0.22200000,0.25500000,0.24100000,0.25900000
1691753489939110,0.23800001,0.25200000,0.25099999,0.25099999
1691753489949130,0.25200000,0.25700000,0.25000000,0.23100001
1691753489959127,0.22000000,0.22300000,0.26400000,0.24100000
1691753489969141,0.25500000,0.28900000,0.22200000,0.23400000
1691753489979252,0.23500000,0.27500001,0.22800000,0.23800001
1691753489989226,0.24500000,0.23800001,0.26699999,0.23700000
1691753489999235,0.23999999,0.24300000,0.25099999,0.22499999
1691753490009250,0.22800000,0.27000001,0.23199999,0.25600001
1691753490019343,0.22000000,0.20800000,0.27200001,0.23600000
1691753490029289,0.25299999,0.28099999,0.22700000,0.23700000
1691753490039849,0.23199999,0.25900000,0.24600001,0.23999999
1691753490049439,0.20700000,0.30599999,0.18300000,0.25099999
1691753490059388,0.26300001,0.17500000,0.32400000,0.21400000
1691753490069391,0.23199999,0.22800000,0.25700000,0.23500000
1691753490079921,0.24200000,0.27599999,0.22600000,0.23000000
1691753490089407,0.23400000,0.27000001,0.23100001,0.23400000
1691753490099473,0.23100001,0.23600000,0.26499999,0.25200000
1691753490109016,0.24699999,0.25000000,0.25299999,0.23500000
1691753490118995,0.23199999,0.24699999,0.23999999,0.23400000
1691753490129107,0.25200000,0.25999999,0.23899999,0.22800000
1691753490139130,0.21699999,0.25000000,0.24100000,0.25600001
1691753490149102,0.25299999,0.25000000,0.25200000,0.23199999
1691753490159113,0.25700000,0.27599999,0.23500000,0.24100000
1691753490169124,0.21600001,0.22499999,0.26499999,0.24900000
1691753490179241,0.24500000,0.26400000,0.23400000,0.23199999
1691753490189237,0.24300000,0.24400000,0.24400000,0.22100000
1691753490199216,0.23800001,0.23800001,0.25099999,0.22600000
1691753490209246,0.22900000,0.27399999,0.21600001,0.24699999
1691753490219260,0.22499999,0.22900000,0.26499999,0.24400000
1691753490229346,0.25700000,0.25099999,0.24900000,0.21699999
1691753490239355,0.22800000,0.22499999,0.25700000,0.23999999
1691753490249342,0.22499999,0.25600001,0.22900000,0.24200000
1691753490259348,0.25700000,0.25900000,0.24100000,0.22300000
1691753490269375,0.22700000,0.23400000,0.25600001,0.23899999
1691753490279378,0.23300000,0.24400000,0.25099999,0.23400000
1691753490289373,0.22900000,0.26199999,0.22600000,0.23999999
1691753490299446,0.24800000,0.23800001,0.24300000,0.21900000
1691753490309467,0.22600000,0.25200000,0.23700000,0.24500000
1691753490319483,0.24500000,0.23100001,0.25500000,0.22000000
1691753490329536,0.23600000,0.26600000,0.23400000,0.23700000
1691753490339500,0.23800001,0.26600000,0.23300000,0.22700000
1691753490349480,0.23100001,0.23500000,0.25099999,0.23300000
1691753490359071,0.24500000,0.26400000,0.23700000,0.23100001
1691753490369076,0.22200000,0.25099999,0.24300000,0.24400000
1691753490379148,0.23899999,0.24800000,0.24100000,0.22800000
1691753490389098,0.24200000,0.25500000,0.23899999,0.22400001
1691753490399115,0.22300000,0.22900000,0.25799999,0.23500000
1691753490409099,0.24400000,0.25700000,0.24100000,0.23000000
1691753490419175,0.22100000,0.23600000,0.25000000,0.23999999
1691753490429201,0.23100001,0.25700000,0.24100000,0.24400000
1691753490439736,0.25000000,0.25299999,0.24200000,0.22300000
1691753490449245,0.23199999,0.23899999,0.24900000,0.23000000
1691753490459301,0.23400000,0.25999999,0.23999999,0.23199999
1691753490469327,0.22499999,0.25200000,0.24400000,0.24500000
1691753490479348,0.24800000,0.25700000,0.23700000,0.22300000
1691753490489325,0.21300000,0.22900000,0.26300001,0.25099999
1691753490499347,0.24300000,0.24600001,0.24300000,0.21500000
1691753490509354,0.23300000,0.25600001,0.23100001,0.23100001
1691753490519476,0.22900000,0.22000000,0.26499999,0.22300000
1691753490529949,0.22200000,0.28099999,0.22700000,0.25500000
1691753490539468,0.20700000,0.25999999,0.20400000,0.22400001
1691753490549431,0.17399999,0.18900000,0.18099999,0.15700001
1691753490559441,0.17299999,0.17700000,0.19300000,0.17600000
1691753490569498,0.18300000,0.15800001,0.21799999,0.16300000
1691753490579500,0.18400000,0.12300000,0.24500000,0.16100000
1691753490589045,0.20000000,0.26300001,0.15000001,0.18700001
1691753490599088,0.19599999,0.21400000,0.20900001,0.18400000
1691753490609140,0.20600000,0.20900001,0.22400001,0.20299999
1691753490619091,0.21900000,0.20900001,0.23199999,0.19599999
1691753490629102,0.22400001,0.20900001,0.24500000,0.19700000
1691753490639196,0.21300000,0.23199999,0.22400001,0.21500000
1691753490649159,0.22600000,0.24800000,0.22800000,0.21300000
1691753490659178,0.22400001,0.24200000,0.23300000,0.22100000
1691753490669191,0.22900000,0.23899999,0.23800001,0.21799999
1691753490679349,0.22200000,0.23800001,0.23999999,0.22300000
1691753490689304,0.22300000,0.24600001,0.23300000,0.22800000
1691753490699312,0.22800000,0.23700000,0.24400000,0.22300000
1691753490709308,0.22499999,0.23700000,0.24900000,0.22700000
1691753490719391,0.22300000,0.25299999,0.23600000,0.23500000
1691753490729430,0.22600000,0.24100000,0.24800000,0.23400000
1691753490739442,0.23600000,0.23999999,0.25099999,0.22400001
1691753490749421,0.23400000,0.24400000,0.24699999,0.23000000
1691753490759513,0.23300000,0.25799999,0.23899999,0.23400000
1691753490769032,0.23199999,0.25500000,0.24400000,0.23600000
1691753490779107,0.22700000,0.22900000,0.25999999,0.23800001
1691753490789073,0.23500000,0.25900000,0.23999999,0.23400000
1691753490799092,0.23600000,0.25799999,0.24300000,0.23700000
1691753490809625,0.23700000,0.24200000,0.25299999,0.22800000
1691753490819232,0.23300000,0.25299999,0.25000000,0.23700000
1691753490829179,0.23300000,0.25500000,0.24600001,0.23400000
1691753490839165,0.23400000,0.24900000,0.24699999,0.23600000
1691753490849154,0.23000000,0.24900000,0.24400000,0.23700000
1691753490859168,0.23899999,0.24400000,0.24500000,0.22700000
1691753490869173,0.23300000,0.24900000,0.24500000,0.24100000
1691753490879785,0.23500000,0.24699999,0.23999999,0.23199999
1691753490889281,0.23600000,0.25200000,0.23700000,0.23000000
1691753490899300,0.22800000,0.24200000,0.24699999,0.23500000
1691753490909460,0.23000000,0.25299999,0.23700000,0.23899999
1691753490919403,0.23100001,0.25299999,0.23800001,0.23300000
1691753490929430,0.23199999,0.23800001,0.25099999,0.23100001
1691753490939441,0.22800000,0.24600001,0.24300000,0.23899999
1691753490949496,0.23700000,0.24900000,0.24300000,0.22700000
1691753490959521,0.23600000,0.24300000,0.24600001,0.22499999
1691753490969038,0.22200000,0.25600001,0.23600000,0.24400000
1691753490979124,0.24100000,0.24900000,0.24400000,0.21900000
1691753490989132,0.23300000,0.24699999,0.24500000,0.23100001
1691753490999120,0.23199999,0.24699999,0.24500000,0.22800000
1691753491009134,0.22600000,0.24300000,0.24500000,0.23600000
1691753491019159,0.22800000,0.23700000,0.25299999,0.23199999
1691753491029174,0.23700000,0.24900000,0.23700000,0.22700000
1691753491039159,0.22499999,0.24400000,0.24800000,0.23899999
1691753491049167,0.22900000,0.24600001,0.24100000,0.23700000
1691753491059257,0.23400000,0.23500000,0.25400001,0.23199999
1691753491069272,0.24200000,0.25700000,0.23500000,0.21799999
1691753491079298,0.22200000,0.24300000,0.25299999,0.24100000
1691753491089305,0.23700000,0.25099999,0.24500000,0.22600000
1691753491099371,0.22800000,0.25900000,0.24100000,0.23800001
1691753491109361,0.23700000,0.23199999,0.25999999,0.22700000
1691753491119383,0.24200000,0.25299999,0.24500000,0.22400001
1691753491129418,0.22900000,0.25099999,0.24600001,0.23899999
1691753491139525,0.24600001,0.24400000,0.24900000,0.21699999
1691753491149429,0.23300000,0.25099999,0.24699999,0.23999999
1691753491159476,0.23800001,0.24699999,0.24699999,0.23199999
1691753491169003,0.23300000,0.23800001,0.25500000,0.23600000
1691753491179146,0.23500000,0.25500000,0.23800001,0.23700000
1691753491189138,0.23600000,0.24200000,0.25400001,0.23400000
1691753491199121,0.23800001,0.25000000,0.24200000,0.22600000
1691753491209145,0.22400001,0.25400001,0.24400000,0.24600001
1691753491219161,0.22700000,0.24500000,0.25000000,0.24300000
1691753491229279,0.23700000,0.24600001,0.24500000,0.22300000
1691753491239772,0.23100001,0.25700000,0.23700000,0.23199999
1691753491249255,0.22300000,0.24600001,0.24600001,0.23700000
1691753491259266,0.22700000,0.24400000,0.24600001,0.23600000
1691753491269340,0.22600000,0.25200000,0.23999999,0.23600000
1691753491279413,0.22700000,0.24400000,0.24600001,0.23400000
1691753491289391,0.23600000,0.24400000,0.24300000,0.22700000
1691753491299386,0.22900000,0.24100000,0.24699999,0.23700000
1691753491309384,0.23000000,0.25299999,0.24100000,0.23899999
1691753491319997,0.23500000,0.25900000,0.23600000,0.23400000
1691753491329496,0.23400000,0.23400000,0.25099999,0.22800000
1691753491339486,0.22900000,0.24400000,0.24699999,0.24200000
1691753491349576,0.23100001,0.25099999,0.23700000,0.23300000
1691753491360092,0.23199999,0.23400000,0.25600001,0.23000000
