timestamp,pose_position_x,pose_position_y,pose_position_z,pose_orientation_x,pose_orientation_y,pose_orientation_z,pose_orientation_w,velocity_linear_x,velocity_linear_y,velocity_linear_z,velocity_angular_x,velocity_angular_y,velocity_angular_z
1691765277732051,-0.00307234,-0.00325828,0.07168197,0.01980803,-0.02443759,0.29662076,0.95447713,0.00095741,0.00045235,-0.00006226,0.00344310,-0.00668918,0.00040500
1691765277735687,-0.00307204,-0.00326172,0.07168186,0.01982534,-0.02442133,0.29663977,0.95447129,0.00017127,-0.00080424,-0.00003211,0.00625001,0.01106931,0.01138379
1691765277739324,-0.00306933,-0.00325563,0.07168558,0.01982713,-0.02441655,0.29663900,0.95447159,0.00068740,0.00142262,0.00091494,0.00016110,0.00281707,-0.00040826
1691765277742960,-0.00306457,-0.00325379,0.07168487,0.01983047,-0.02443055,0.29663911,0.95447111,0.00124450,0.00059864,-0.00008353,0.00403905,-0.00681192,0.00005315
1691765277746597,-0.00305853,-0.00325064,0.07168359,0.01983788,-0.02444805,0.29663664,0.95447129,0.00161924,0.00083899,-0.00032500,0.00677732,-0.00794914,-0.00140923
1691765277750233,-0.00304877,-0.00331179,0.07168193,0.01980223,-0.02443031,0.29664737,0.95446914,0.00257480,-0.01502041,-0.00044168,-0.02173207,0.00334895,0.00568080
1691765277753869,-0.00293603,-0.00327174,0.07158437,0.01981818,-0.02430708,0.29663378,0.95447618,0.02811112,0.00836465,-0.02414602,-0.01162407,0.06754366,-0.00671799
1691765277757506,-0.00292818,-0.00327137,0.07157901,0.01982116,-0.02431620,0.29663116,0.95447671,0.00480110,0.00094136,-0.00377999,0.00307842,-0.00426375,-0.00152826
1691765277761142,-0.00292254,-0.00326392,0.07156898,0.01982435,-0.02431850,0.29662850,0.95447743,0.00188174,0.00193742,-0.00286215,0.00207968,-0.00064984,-0.00149152
1691765277764778,-0.00292059,-0.00325759,0.07157283,0.01982482,-0.02431343,0.29662538,0.95447850,0.00067167,0.00176000,0.00066011,-0.00054928,0.00278656,-0.00177111
1691765277768415,-0.00291678,-0.00325600,0.07157046,0.01982973,-0.02432531,0.29662684,0.95447767,0.00101117,0.00057241,-0.00051798,0.00450318,-0.00545841,0.00084205
1691765277772051,-0.00291290,-0.00325368,0.07156825,0.01983174,-0.02434246,0.29662222,0.95447862,0.00106041,0.00063136,-0.00059936,0.00390583,-0.00861316,-0.00274166
1691765277775687,-0.00292630,-0.00326874,0.07158446,0.01984777,-0.02432973,0.29664010,0.95447302,-0.00320219,-0.00365567,0.00394385,0.00615965,0.00902670,0.01068326
1691765277779324,-0.00292965,-0.00326590,0.07159227,0.01985864,-0.02433161,0.29663879,0.95447314,-0.00115411,0.00032812,0.00232973,0.00602526,0.00080363,-0.00059152
1691765277782960,-0.00292860,-0.00326531,0.07159354,0.01985986,-0.02434761,0.29663911,0.95447266,0.00014177,0.00017863,0.00055009,0.00325459,-0.00821424,0.00009276
1691765277786596,-0.00292529,-0.00326115,0.07159160,0.01985987,-0.02436441,0.29663587,0.95447326,0.00083235,0.00104656,-0.00042251,0.00278259,-0.00877507,-0.00198058
