timestamp,pose_position_x,pose_position_y,pose_position_z,pose_orientation_x,pose_orientation_y,pose_orientation_z,pose_orientation_w,velocity_linear_x,velocity_linear_y,velocity_linear_z,velocity_angular_x,velocity_angular_y,velocity_angular_z
1704704259674806,0.00250185,-0.00136847,0.05523460,-0.00034309,0.00101295,-0.00103153,0.99999887,-0.00208468,-0.00030374,0.00027975,0.00266967,0.00070186,-0.00236500
1704704259678443,0.00250014,-0.00136778,0.05523552,-0.00034194,0.00101487,-0.00102834,0.99999893,-0.00063259,0.00014068,0.00025572,0.00063707,0.00105288,0.00175659
1704704259682079,0.00250452,-0.00136687,0.05523496,-0.00034261,0.00101469,-0.00102717,0.99999893,0.00101676,0.00023895,-0.00011200,-0.00037251,-0.00009689,0.00063893
1704704259685716,0.00250823,-0.00136357,0.05523209,-0.00034656,0.00100703,-0.00104870,0.99999887,0.00101926,0.00083862,-0.00072076,-0.00218550,-0.00421553,-0.01183181
1704704259689352,0.00250758,-0.00136281,0.05523208,-0.00034472,0.00100738,-0.00105067,0.99999887,-0.00005640,0.00027343,-0.00007615,0.00100843,0.00019423,-0.00108557
1704704259692988,0.00251320,-0.00136241,0.05522850,-0.00034274,0.00100458,-0.00105414,0.99999887,0.00138296,0.00012642,-0.00089210,0.00108903,-0.00154589,-0.00190966
1704704259696625,0.00250842,-0.00136478,0.05522789,-0.00034599,0.00100777,-0.00104179,0.99999887,-0.00104034,-0.00057140,-0.00024166,-0.00177804,0.00176176,0.00679021
1704704259700261,0.00250852,-0.00136611,0.05522608,-0.00035611,0.00101415,-0.00104516,0.99999887,-0.00008148,-0.00038737,-0.00047276,-0.00556497,0.00351307,-0.00184787
1704704259703897,0.00251652,-0.00136908,0.05521997,-0.00035958,0.00101500,-0.00104821,0.99999887,0.00196861,-0.00077204,-0.00155549,-0.00191087,0.00047054,-0.00167511
1704704259707534,0.00251492,-0.00137140,0.05522112,-0.00036566,0.00102092,-0.00105175,0.99999887,-0.00019634,-0.00065353,0.00012510,-0.00334506,0.00325855,-0.00194688
1704704259711170,0.00251725,-0.00137301,0.05522212,-0.00036831,0.00102066,-0.00106162,0.99999881,0.00055596,-0.00046374,0.00025844,-0.00146048,-0.00014588,-0.00542467
1704704259714806,0.00251292,-0.00136937,0.05522631,-0.00036062,0.00102377,-0.00106179,0.99999881,-0.00101294,0.00085378,0.00106342,0.00422891,0.00170556,-0.00009697
1704704259718443,0.00251153,-0.00136755,0.05522729,-0.00035857,0.00102434,-0.00106406,0.99999881,-0.00044522,0.00053549,0.00035018,0.00112895,0.00031016,-0.00125001
1704704259722079,0.00249487,-0.00136728,0.05523038,-0.00034721,0.00102529,-0.00103419,0.99999887,-0.00416121,0.00012055,0.00079669,0.00626439,0.00052627,0.01641965
1704704259725716,0.00249383,-0.00136624,0.05523040,-0.00033314,0.00102115,-0.00102430,0.99999887,-0.00067931,0.00026882,0.00008659,0.00774020,-0.00228629,0.00543599
1704704259729352,0.00249415,-0.00136559,0.05523147,-0.00033155,0.00102352,-0.00102671,0.99999887,0.00000969,0.00018887,0.00027384,0.00087568,0.00130456,-0.00132917
1704704259732988,0.00250947,-0.00136061,0.05523491,-0.00032152,0.00101513,-0.00104588,0.99999887,0.00378501,0.00124959,0.00087818,0.00550086,-0.00462358,-0.01055051
