timestamp,roll,pitch,yaw,norm_thrust
1704712213192892,0.07414851,0.17508648,0.05242571,6.27964306
1704712213250875,-0.13336295,-0.44520390,0.04420368,10.68564987
1704712213257040,-0.13744286,-0.45371684,0.04370970,10.40926361
1704712213262880,-0.14296004,-0.44355291,0.04292002,10.14969254
1704712213268897,-0.13579923,-0.42903328,0.04257447,9.86812305
1704712213274871,-0.11830069,-0.40235749,0.04267237,9.59629726
1704712213280834,-0.10615139,-0.35997668,0.04181596,9.32382870
1704712213290824,-0.06495185,-0.24836558,0.03521506,8.84780025
1704712213296853,-0.03161515,-0.14593557,0.03292808,8.56249619
1704712213302866,0.01266010,-0.02852651,0.03162991,8.27126408
1704712213306865,0.04265297,0.05342487,0.03105019,8.09269333
1704712213314825,0.10171437,0.20343809,0.03033570,7.79268551
1704712213318879,0.12921900,0.26888955,0.02987383,7.66739321
1704712213326861,0.16999854,0.37070149,0.02767771,7.48510218
1704712213332917,0.18827613,0.41976050,0.02585087,7.40995121
1704712213338890,0.19619896,0.43596262,0.02387524,7.38115168
1704712213346850,0.19219154,0.41096002,0.02109625,7.40249395
1704712213352848,0.17835398,0.36397272,0.01897966,7.45400095
1704712213358858,0.15567711,0.29114813,0.01678615,7.54589558
1704712213364852,0.12442527,0.20471421,0.01488710,7.65581512
1704712213370838,0.08609612,0.10601711,0.01391137,7.75940895
1704712213376921,0.04855246,0.00423658,0.01331697,7.87132454
1704712213382914,0.01839105,-0.07327276,0.01274375,7.93228817
1704712213388870,-0.01737740,-0.15040752,0.01269636,7.90395546
1704712213394875,-0.06695570,-0.24304676,0.01236634,7.85230494
1704712213400858,-0.12507674,-0.33686832,0.01210446,7.80456448
1704712213410846,-0.20465413,-0.43925971,0.01360568,7.75209141
1704712213415010,-0.23264712,-0.44782984,0.01413578,7.74444485
1704712213422874,-0.27199784,-0.42140746,0.01385129,7.70058775
1704712213428868,-0.28882569,-0.37070283,0.01357967,7.67688847
1704712213432868,-0.29096058,-0.32082903,0.01345030,7.68118143
1704712213438893,-0.27556515,-0.23592919,0.01299352,7.70240593
1704712213446867,-0.22412300,-0.10822253,0.01352094,7.69778967
1704712213452925,-0.16978203,0.00482949,0.01431200,7.69004250
1704712213458922,-0.10719218,0.11156366,0.01503604,7.67908764
