timestamp,thrust[0],thrust[1],thrust[2],thrust[3]
1704712213132594,0.05600000,0.06300000,0.06700000,0.07300000
1704712213142047,0.06200000,0.05600000,0.05800000,0.05700000
1704712213152231,0.06600000,0.05900000,0.06100000,0.05600000
1704712213162085,0.05600000,0.06200000,0.05800000,0.06100000
1704712213172089,0.05600000,0.07000000,0.06700000,0.07600000
1704712213182117,0.05600000,0.05700000,0.06200000,0.06200000
1704712213192125,0.07100000,0.05600000,0.07100000,0.05900000
1704712213202121,0.06900000,0.05600000,0.07300000,0.06000000
1704712213212182,0.24200000,0.17100000,0.12700000,0.08800000
1704712213222130,0.22200000,0.36000001,0.15500000,0.35400000
1704712213232202,0.16599999,0.31200001,0.18000001,0.33700001
1704712213242247,0.19499999,0.26600000,0.16900000,0.25000000
1704712213252326,0.22100000,0.18799999,0.21699999,0.20700000
1704712213262280,0.23999999,0.11500000,0.24699999,0.16400000
1704712213271794,0.22300000,0.13400000,0.23500000,0.16599999
1704712213282277,0.20600000,0.14000000,0.21300000,0.15400000
1704712213291786,0.16700000,0.16800000,0.18600000,0.18300000
1704712213302079,0.17200001,0.19000000,0.16599999,0.17100000
1704712213311830,0.14300001,0.23400000,0.12400000,0.19599999
1704712213321812,0.11700000,0.24800000,0.10800000,0.23400000
1704712213331967,0.27800000,0.05600000,0.35699999,0.14200000
1704712213341910,0.15200000,0.25099999,0.11900000,0.21900000
1704712213351954,0.17600000,0.25900000,0.11000000,0.20500000
1704712213361993,0.20299999,0.20800000,0.15000001,0.17600000
1704712213371970,0.19000000,0.22200000,0.13800000,0.18000001
1704712213381966,0.16800000,0.19200000,0.17100000,0.19599999
1704712213392011,0.13000000,0.21200000,0.14000000,0.23700000
1704712213401998,0.18600000,0.19800000,0.15300000,0.19200000
1704712213412033,0.21300000,0.18300000,0.16300000,0.16300000
1704712213422070,0.20299999,0.14300001,0.20600000,0.17100000
1704712213432016,0.19800000,0.13200000,0.22100000,0.16800000
1704712213442050,0.17700000,0.12200000,0.22800000,0.19000000
1704712213452305,0.17200001,0.15600000,0.20400000,0.18799999
1704712213462066,0.14900000,0.19400001,0.17399999,0.21100000
1704712213472054,0.12500000,0.22499999,0.14500000,0.23700000
1704712213482088,0.20200001,0.16800000,0.20900001,0.17200001
1704712213492589,0.21200000,0.17700000,0.19800000,0.16700000
1704712213502114,0.19300000,0.26699999,0.11000000,0.19100000
1704712213512181,0.14500000,0.21900000,0.14800000,0.24500000
1704712213522328,0.24100000,0.22000000,0.14900000,0.14000000
1704712213532178,0.15700001,0.24699999,0.12500000,0.21400000
